"year","breast","colon.and.rectum","anus,.anal.canal.and.anorectum","esophagus","gallbladder","liver.and.intrahepatic.bile.duct","other.biliary","other.digestive.organs","pancreas","peritoneum,.omentum.and.mesentery","retroperitoneum","small.intestine","stomach","hodgkin.lymphoma","leukemia","myeloma","non-hodgkin.lymphoma","other.male.genital.organs","penis","prostate","testis","bones.and.joints","brain.and.other.nervous.system","eye.and.orbit","kaposi.sarcoma.","melanoma.of.the.skin","mesothelioma.","miscellaneous","oral.cavity.and.pharynx","other.endocrine.including.thymus","other.non-epithelial.skin","soft.tissue.including.heart","thyroid","larynx","lung.and.bronchus","nose,.nasal.cavity.and.middle.ear","pleura","trachea,.mediastinum.and.other.respiratory.organs","kidney.and.renal.pelvis","other.urinary.organs","ureter","urinary.bladder"
1999,0,1.40461462725541,0.0668864108216862,0.133772821643372,0,0.334432054108431,0.0668864108216862,0.0668864108216862,0.200659232465059,0.0668864108216862,0.200659232465059,0.0668864108216862,0.601977697395176,3.61186618437105,3.41120695190599,0.401318464930117,3.54497977354937,0,0,0.0668864108216862,10.1667344448963,1.07018257314698,3.41120695190599,0.200659232465059,1.33772821643372,4.8158215791614,0.0668864108216862,0.802636929860234,0.86952334068192,0.401318464930117,0.735750519038548,1.13706898396866,2.34102437875902,0,0.334432054108431,0.133772821643372,0,0.267545643286745,0.802636929860234,0,0,0.334432054108431
2000,0,1.711715645605,0.209597834155714,0.0349329723592856,0,0.349329723592856,0.0698659447185712,0.0349329723592856,0.0349329723592856,0.0349329723592856,0.0698659447185712,0.104798917077857,0.663726474826427,3.98235884895856,2.96930265053928,0.174664861796428,3.45836426356928,0.0349329723592856,0.0349329723592856,0.104798917077857,11.8772106021571,0.628793502467141,3.28369940177285,0.0698659447185712,1.08292214313785,5.13514693681499,0.0349329723592856,0.349329723592856,1.29251997729357,0.244530806514999,0.698659447185712,1.36238592201214,2.44530806514999,0.0698659447185712,0.593860530107856,0.244530806514999,0,0.244530806514999,0.628793502467141,0.0698659447185712,0,0.698659447185712
2001,0.0356528990620079,1.78264495310039,0.142611596248032,0.0356528990620079,0,0.285223192496063,0.142611596248032,0.0356528990620079,0.213917394372047,0,0.0713057981240158,0.178264495310039,0.713057981240158,4.56357107993701,2.99484352120866,0.106958697186024,4.84879427243307,0,0.0356528990620079,0,12.8706965613848,0.891322476550197,2.49570293434055,0.106958697186024,1.17654566904626,5.02705876774311,0,0.820016678426181,0.855669577488189,0.356528990620079,0.606099284054134,1.49742176060433,2.2817855399685,0,0.49914058686811,0.0356528990620079,0.0356528990620079,0.320876091558071,0.49914058686811,0,0,0.49914058686811
2002,0.0718996941746508,2.08509113106487,0.0359498470873254,0.143799388349302,0.0359498470873254,0.39544831796058,0.0359498470873254,0.0359498470873254,0.251648929611278,0,0.107849541261976,0.215699082523952,0.611147400484532,4.529680733003,2.58838899028743,0.0359498470873254,4.02638287378045,0,0,0.0359498470873254,11.1804024441582,0.754946788833834,3.30738593203394,0.215699082523952,1.25824464805639,5.42842691018614,0.0718996941746508,1.07849541261976,0.86279633009581,0.323548623785929,0.575197553397207,1.68964281310429,2.37268990776348,0.0359498470873254,0.575197553397207,0.179749235436627,0.0359498470873254,0.251648929611278,0.647097247571857,0.0359498470873254,0,0.575197553397207
2003,0.0359423786162975,2.15654271697785,0.071884757232595,0.179711893081487,0.0359423786162975,0.323481407546677,0.107827135848893,0,0.071884757232595,0,0.0359423786162975,0.107827135848893,0.539135679244462,4.3130854339557,2.8753902893038,0.0359423786162975,3.77394975471124,0.0359423786162975,0.071884757232595,0.0359423786162975,11.5375035358315,0.43130854339557,2.94727504653639,0.071884757232595,0.934501844023735,4.67250922011867,0.0359423786162975,1.15015611572152,1.18609849433782,0.28753902893038,0.754789950942247,1.72523417358228,2.26436985282674,0.0359423786162975,0.43130854339557,0.107827135848893,0.0359423786162975,0.28753902893038,1.15015611572152,0,0,0.395366164779272
2004,0.0354095360713403,1.91211494785238,0.0708190721426806,0.106228608214021,0,0.424914432856084,0,0,0.212457216428042,0.0354095360713403,0.106228608214021,0.141638144285361,0.495733504998764,3.78882035963341,2.58489613320784,0.0708190721426806,3.93045850391877,0.0354095360713403,0.0354095360713403,0.0708190721426806,14.1992239646075,0.460323968927424,4.78028736963094,0.0354095360713403,0.814419329640827,4.31996340070352,0.0354095360713403,0.849828865712167,0.956057473926188,0.495733504998764,0.424914432856084,1.66424819535299,2.47866752499382,0.0354095360713403,0.601962113212785,0.212457216428042,0,0.354095360713403,0.672781185355466,0,0,0.460323968927424
2005,0,2.57799343984043,0,0.143143869051779,0.0357692553949874,0.322257535914032,0,0,0.178913124446766,0,0.286421433047216,0.0715385107899747,0.46546825243764,4.2602180029541,3.36511760094564,0.143210716523608,3.90265914394789,0,0.0357692553949874,0.0716053582618039,13.7481619387945,0.644448224356235,4.65535099909469,0.178979971918595,0.966772607742097,5.5847500121179,0.0358361028668166,1.46780957315924,1.07408037392706,0.429632149570824,0.536873068283957,1.61108713715467,2.2201671909469,0,0.501170660360798,0.358093638780849,0.0358361028668166,0.393996589119495,0.966638912798438,0.0358361028668166,0,0.608411579073931
2006,0.0680468611514005,2.14347612626912,0.0340234305757003,0,0,0.374257736332703,0.0680468611514005,0.102070291727101,0.0680468611514005,0.0340234305757003,0.136093722302801,0.136093722302801,0.272187444605602,4.32097568311393,2.85796816835882,0.0680468611514005,3.53843677987283,0.0340234305757003,0,0.0340234305757003,12.8948801881904,0.714492042089706,4.11683509965973,0.136093722302801,0.714492042089706,5.54581918383914,0.0680468611514005,0.782538903241106,1.19082007014951,0.204140583454202,0.476328028059804,1.97335897339062,2.85796816835882,0.0680468611514005,0.748515472665406,0.238164014029902,0,0.306210875181302,0.850585764392507,0,0,0.442304597484103
2007,0,1.87180789902933,0.167125705270476,0.167125705270476,0.0334251410540952,0.434526833703238,0,0,0.233975987378667,0.0668502821081905,0.0668502821081905,0.233975987378667,0.467951974757334,4.71294488862743,3.84389122122095,0.167125705270476,4.31184319597829,0.0334251410540952,0,0.0668502821081905,14.5733614995855,0.735353103190096,4.31184319597829,0.133700564216381,1.4372810653261,4.71294488862743,0.0334251410540952,0.869053667406476,0.835628526352381,0.334251410540952,0.434526833703238,1.83838275797524,3.14196325908495,0.0668502821081905,0.701927962136,0.200550846324571,0,0.434526833703238,1.00275423162286,0,0,0.701927962136
2008,0.032847540113416,2.52926058873303,0.065695080226832,0.098542620340248,0,0.558408181928072,0.065695080226832,0,0.16423770056708,0,0.16423770056708,0.065695080226832,0.427018021474408,4.105942514177,3.51468679213551,0.131390160453664,4.27018021474408,0.098542620340248,0.065695080226832,0.032847540113416,13.9602045482018,0.722645882495152,4.13879005429041,0.065695080226832,0.98542620340248,3.87600973338309,0,1.37959668476347,0.952578663289064,0.525560641814656,0.689798342381736,1.28105406442322,3.0876687706611,0.065695080226832,0.459865561587824,0.131390160453664,0,0.525560641814656,1.05112128362931,0.032847540113416,0,0.525560641814656
2009,0,1.98375080447599,0.162602524957049,0.162602524957049,0,0.292684544922687,0.162602524957049,0,0.390246059896916,0.0325205049914097,0.0975615149742291,0.130082019965639,0.357725554905507,4.0325426189348,3.38213251910661,0.260164039931278,4.0325426189348,0.0325205049914097,0.0650410099828194,0.0325205049914097,13.9838171463062,0.715451109811014,4.00002211394339,0.130082019965639,1.07317666471652,3.93498110396057,0,0.585369089845375,0.813012624785243,0.455287069879736,0.292684544922687,1.85366878451035,2.92684544922687,0.0650410099828194,0.487807574871146,0.0975615149742291,0,0.292684544922687,1.10569716970793,0.0325205049914097,0,0.650410099828194
2010,0.0649541293938221,2.37082572287451,0.032477064696911,0.0649541293938221,0.032477064696911,0.454678905756755,0.0649541293938221,0,0.0649541293938221,0,0.129908258787644,0.227339452878377,0.422201841059844,4.25449547529535,2.37082572287451,0.129908258787644,3.79981656953859,0,0.0974311940907331,0,14.8095415017914,0.844403682119687,4.22201841059844,0.129908258787644,1.03926607030115,4.25449547529535,0,1.88366975242084,0.844403682119687,0.454678905756755,0.389724776362932,1.42899084666409,2.82550462863126,0.0649541293938221,0.714495423332043,0.129908258787644,0,0.259816517575288,1.23412845848262,0,0,0.389724776362932
2011,0,2.41738194312384,0.0644635184833023,0.0644635184833023,0,0.290085833174861,0.0322317592416512,0,0.257854073933209,0,0.0644635184833023,0.0644635184833023,0.580171666349721,3.90004286823979,3.70665231278988,0.290085833174861,4.31905573838126,0.0322317592416512,0,0,14.9877680473678,0.83802574028293,3.54549351658163,0.128927036966605,0.870257499524582,4.80253212700602,0.0322317592416512,0.934721018007884,1.2570386104244,0.322317592416512,0.54793990710807,1.48266092511595,2.57854073933209,0.128927036966605,0.644635184833023,0.128927036966605,0,0.322317592416512,1.41819740663265,0,0,0.644635184833023
2012,0,2.65760391711606,0.0640386486052062,0.0640386486052062,0.0640386486052062,0.544328513144253,0.0640386486052062,0.0960579729078093,0.192115945815619,0.0320193243026031,0.0960579729078093,0.0320193243026031,0.608367161749459,4.00241553782539,3.23395175456291,0.0640386486052062,3.93837688922018,0,0.0640386486052062,0.0320193243026031,14.921005125013,0.608367161749459,3.58616432189155,0.128077297210412,1.44086959361714,3.97039621352279,0.0320193243026031,0.896541080472887,0.864521756170284,0.256154594420825,0.448270540236444,1.63298553943276,3.36202905177333,0.0640386486052062,0.51230918884165,0.0960579729078093,0,0.384231891631237,1.34481162070933,0,0,0.448270540236444
2013,0.0317264821898633,2.34775968204989,0.0317264821898633,0.222085375329043,0.0317264821898633,0.348991304088497,0.0634529643797266,0.0317264821898633,0,0,0.09517944656959,0.09517944656959,0.317264821898633,3.77545138059374,3.36300711212551,0.09517944656959,3.74372489840387,0.0317264821898633,0.09517944656959,0,16.2122323990202,0.793162054746583,3.83890434497346,0.222085375329043,1.17387984102494,3.71199841621401,0.0317264821898633,0.85661501912631,1.3007857697844,0.317264821898633,0.539350197227677,1.58632410949317,3.52163952307483,0.0317264821898633,0.412444268468223,0.09517944656959,0,0.38071778627836,1.23733280540467,0,0,0.539350197227677
2014,0.0310947787513207,3.26495176888868,0.217663451259245,0.124379115005283,0.0621895575026415,0.40423212376717,0.0310947787513207,0.0310947787513207,0.217663451259245,0,0.0932843362539622,0.217663451259245,0.466421681269811,3.91794212266641,3.94903690141774,0.0310947787513207,3.32714132639132,0,0.0310947787513207,0.0310947787513207,14.7078303493747,0.528611238772453,4.53983769769283,0.186568672507924,0.777369468783019,4.07341601642302,0.0621895575026415,1.11941203504755,0.808464247534339,0.590800796275094,0.310947787513208,1.8034971675766,3.88684734391509,0.0621895575026415,0.621895575026415,0.0932843362539622,0,0.217663451259245,1.02612769879358,0,0,0.310947787513208
2015,0,3.70824500921894,0.151977254476186,0.0607909017904744,0,0.486327214323795,0.0607909017904744,0,0.151977254476186,0.0303954508952372,0.0303954508952372,0.151977254476186,0.395140861638084,3.22191779489515,3.37389504937133,0.151977254476186,4.22496767443797,0.0607909017904744,0.0607909017904744,0.0607909017904744,14.5290255279234,0.881468075961879,3.43468595116181,0.151977254476186,1.58056344655234,3.76903591100941,0.0607909017904744,0.851072625066642,1.00304987954283,0.303954508952372,0.334349959847609,1.64135434834281,3.9210131654856,0.0607909017904744,0.395140861638084,0.0303954508952372,0,0.303954508952372,1.27660893759996,0,0,0.638304468799981
